Disease_Name_English,Disease_Name_Spanish,Diagnosis,Treatments,Tests,Medications_Drugs
Blepharitis,Blepharitis,"Examination of the eyes using a magnifying instrument; Swabbing skin for analysis of oil or crust for bacteria, fungi, or evidence of allergy.","Warm compresses; Eyelid scrubs; Topical antibiotic eyedrops, creams, or ointments; Oral antibiotics; Steroid eyedrops or ointments; Topical cyclosporine (Restasis); Treatment of underlying conditions (e.g., seborrheic dermatitis, rosacea); Intense pulsed light therapy (further study needed).","Examining your eyes with a magnifying instrument; Swabbing skin for bacterial, fungal, or allergy testing.",Topical antibiotics; Oral antibiotics; Steroid eyedrops or ointments; Topical cyclosporine (Restasis).
Blocked tear duct,Blocked tear duct,"Diagnosis involves reviewing symptoms, examining the eyes and nose to check for nasal passage obstructions, and potentially further tests to locate the blockage.  A tear drainage test measures tear drainage speed; irrigation and probing flushes the tear drainage system or inserts an instrument to check for blockages; eye imaging tests (X-ray, CT, or MRI) with contrast dye identify blockage location and cause.","Watch-and-wait or massage;  Antibiotic eye drops or pills; Dilation, probing and flushing; Stenting or intubation; Balloon catheter dilation; Dacryocystorhinostomy (external or endoscopic/endonasal)",Tear drainage test; Irrigation and probing; Eye imaging tests (X-ray; computerized tomography (CT); magnetic resonance imaging (MRI)),Antibiotic eye drops; Antibiotic pills
Blood in urine (hematuria),Blood in urine (hematuria),"Diagnosis of blood in urine (hematuria) involves a physical exam, discussion of health history, and various tests to identify the underlying cause.  The cause may not always be found.","Antibiotics for urinary tract infection; Medication to shrink enlarged prostate; Treatment using sound waves to break up bladder or kidney stones; In some cases, no treatment is needed.","Urine tests; Imaging tests (CT scan, MRI, ultrasound); Cystoscopy",Antibiotics
Body dysmorphic disorder,Body dysmorphic disorder,"Diagnosis is based on a psychological evaluation assessing risk factors, thoughts, feelings, and behaviors related to negative self-image; personal, social, family, and medical history are also considered; signs and symptoms are evaluated.",Cognitive behavioral therapy; Medications; Psychiatric hospitalization,Psychological evaluation,Selective serotonin reuptake inhibitors (SSRIs); Other medications ( unspecified)
Body lice,Body lice,Visual examination of the body and clothing to identify lice and eggs.,Thorough washing of body and contaminated items with soap and hot water; drying clothing and bedding in a hot dryer; dry cleaning and ironing clothing; over-the-counter lotions or shampoos containing 1% permethrin (Nix) or pyrethrin; prescription lotion (if other treatments fail).,Information not found,1% permethrin (Nix); pyrethrin
Boils and carbuncles,Boils and carbuncles,"Visual examination by a doctor;  Pus sample may be sent to the lab for testing to determine antibiotic sensitivity, especially in cases of recurring infections or infections unresponsive to standard treatment.",Warm compresses; Incision and drainage; Antibiotics,Pus culture,Information not found
Bone cancer,Bone cancer,Bone cancer diagnosis involves imaging tests to visualize the affected bone; a tissue biopsy is performed to confirm the presence of cancer cells.,Surgery; Radiation therapy; Chemotherapy,X-ray; MRI; CT scan; PET scan; Bone scan; Biopsy (needle biopsy; surgical biopsy),Information not found
Bone metastasis,Bone metastasis,Diagnosis involves imaging tests such as X-ray; bone scan (bone scintigraphy); CT scan; MRI scan; and PET scan.  A biopsy may be performed to confirm the diagnosis.,Bone-building medicines; Radiopharmaceutical medicines; Chemotherapy; Hormone therapy; Pain medicines; Targeted therapy; Radiation therapy; Stereotactic body radiotherapy; Surgery (orthopedic fixation; bone cement injection),X-ray; Bone scan; CT scan; MRI scan; PET scan; Biopsy,Information not found
Bone spurs,Bone spurs,Physical exam to pinpoint pain; X-rays or other imaging tests (CT scan; MRI) to view joints and bones.,Pain relievers; Physical therapy; Surgery (bone spur removal or joint replacement); Weight loss (for osteoarthritis of hips or knees),X-ray; CT scan; MRI,Acetaminophen; Ibuprofen; Naproxen sodium
Borderline personality disorder,Borderline personality disorder,"Diagnosis is based on a detailed interview with a doctor or mental health professional; a mental health evaluation, possibly including questionnaires; review of medical history and physical exam; and discussion of symptoms.  Diagnosis is usually made in adults, not children or teenagers.","Psychotherapy (talk therapy); hospitalization (if safety is at risk); treatment for co-occurring mental health conditions (e.g., depression, substance misuse); Dialectical behavior therapy (DBT); Cognitive behavioral therapy (CBT); Schema-focused therapy; Mentalization-based therapy (MBT); Systems Training for Emotional Predictability and Problem-Solving (STEPPS); Transference-focused psychotherapy (TFP);  individual therapy; group therapy; family education.",Information not found,"The FDA hasn't approved any drugs specifically for borderline personality disorder; however, antidepressants; antipsychotics; and mood-stabilizing drugs may be used to treat associated symptoms or co-occurring conditions."
Botulism,Botulism,"Evaluation of muscle weakness or paralysis; assessment of symptoms like drooping eyelids and weak voice; inquiry about recent food consumption and potential wound exposure; in infant botulism, inquiry about recent honey consumption, constipation, and decreased activity; analysis of blood, stool, or vomit for botulinum toxin (though results may take days, the provider's exam is the primary diagnostic method).","Induction of vomiting; bowel stimulant medication; surgical removal of infected tissue (wound botulism); antitoxin (foodborne or wound botulism); botulism immune globulin (infant botulism); antibiotics (wound botulism); mechanical ventilation; rehabilitation therapy (speech, swallowing, etc.)",Blood analysis for botulinum toxin; Stool analysis for botulinum toxin; Vomit analysis for botulinum toxin,Bowel stimulant drugs; Antibiotics; Antitoxin; Botulism immune globulin
Brachial plexus injury,Brachial plexus injury,Diagnosis involves a physical exam and assessment of symptoms.  Severity assessment may require additional tests.,Physical therapy; Surgery (nerve graft; nerve transfer; muscle transfer; neurolysis; nerve repair); Splints,X-ray; Electromyography (EMG); Nerve conduction studies; Magnetic resonance imaging (MRI); Computerized tomography (CT) myelography,Information not found
Bradycardia,Bradycardia,Physical examination including listening to the heart with a stethoscope and reviewing patient symptoms and medical history; Electrocardiogram (ECG or EKG) is the main test.,"Lifestyle changes; Change in medications; Pacemaker; Treatment of underlying conditions (e.g., thyroid disease, sleep apnea)",Blood tests; Electrocardiogram (ECG or EKG); Holter monitor; Event recorder; Tilt table test; Stress exercise test; Sleep study,"Metoprolol; Eliquis (the page mentions these medications in patient discussions, not as direct treatments for bradycardia)"
Brain aneurysm,Brain aneurysm,"Diagnosis of brain aneurysms involves assessing for bleeding in the brain (often initially via CT scan) and detecting the aneurysm itself.  A CT angiogram, MRI (including MR angiography), and lumbar puncture (to analyze cerebrospinal fluid for blood) may be used. Cerebral angiogram is used if other tests are insufficient.  Diagnosis of unruptured aneurysms relies on imaging tests and family/personal risk factor assessment.",Aneurysm clipping; Endovascular coiling; Endovascular stents; Flow diversion; Angioplasty; Ventricular or lumbar draining catheters; Shunt surgery,CT scan; CT angiogram; Lumbar puncture; MRI; MR angiography; Cerebral angiogram,Information not found
Brain AVM (arteriovenous malformation),Brain AVM (arteriovenous malformation),"Diagnosis involves reviewing symptoms and conducting a physical exam.  Imaging tests, usually performed by neuroradiologists, are crucial.",Surgical removal (resection); Endovascular embolization; Stereotactic radiosurgery (SRS); Monitoring (observation),Cerebral angiography; Computerized tomography (CT) scan; Magnetic resonance imaging (MRI); Computerized tomography angiography; Magnetic resonance angiography,Information not found
Brain metastases,Brain metastases,"Brain metastases are diagnosed through a neurological exam assessing cognition, speech, vision, hearing, balance, coordination, strength, sensation, and reflexes;  imaging tests such as MRI (often with contrast), CT, and PET scans are used to determine location and size of metastases; a biopsy may be performed to obtain tissue for laboratory analysis.",Surgery; Whole-brain radiation; Stereotactic radiosurgery; Chemotherapy; Targeted therapy; Immunotherapy; Physical therapy; Occupational therapy; Speech therapy; Cognitive rehabilitation therapy; Palliative care,Neurological exam; MRI; CT scan; PET scan; Biopsy,Steroids (corticosteroids); Anti-seizure drugs
Brain tumor,Brain tumor,"Diagnosis involves a neurological exam (assessing vision, hearing, balance, coordination, strength, and reflexes); head CT scan (initial imaging to detect problems in and around the brain); brain MRI (detailed imaging to visualize brain tumors and differentiate them from healthy tissue, potentially with functional MRI, magnetic resonance spectroscopy, or magnetic resonance perfusion); PET scan (detecting rapidly growing tumors); and brain biopsy (tissue sample for lab testing to determine cancerous nature, grade, and DNA changes).","Surgery; Radiation therapy; Radiosurgery; Chemotherapy; Targeted therapy; Observation (for small, benign, asymptomatic tumors)","Neurological exam; Head CT scan; Brain MRI (including functional MRI, magnetic resonance spectroscopy, and magnetic resonance perfusion); PET scan; Brain biopsy",Information not found
